			*MESH_VERTEX    0	-5000.0000	-5000.0000	189.0038
			*MESH_VERTEX    1	-4500.0005	-5000.0000	189.0038
			*MESH_VERTEX    2	-4000.0000	-5000.0005	189.0038
			*MESH_VERTEX    3	-3500.0002	-5000.0000	189.0038
			*MESH_VERTEX    4	-3000.0002	-5000.0000	189.0038
			*MESH_VERTEX    5	-2500.0000	-5000.0000	189.0038
			*MESH_VERTEX    6	-2000.0000	-5000.0000	189.0038
			*MESH_VERTEX    7	-1500.0001	-5000.0005	189.0038
			*MESH_VERTEX    8	-1000.0000	-5000.0000	189.0038
			*MESH_VERTEX    9	-500.0000	-5000.0000	189.0038
			*MESH_VERTEX   10	0.0000	-5000.0000	189.0038
			*MESH_VERTEX   11	500.0000	-5000.0000	189.0038
			*MESH_VERTEX   12	1000.0000	-5000.0005	189.0038
			*MESH_VERTEX   13	1500.0001	-5000.0000	189.0038
			*MESH_VERTEX   14	2000.0000	-5000.0000	189.0038
			*MESH_VERTEX   15	2500.0000	-5000.0000	189.0038
			*MESH_VERTEX   16	3000.0002	-5000.0000	189.0038
			*MESH_VERTEX   17	3500.0000	-5000.0005	189.0038
			*MESH_VERTEX   18	4000.0000	-5000.0000	189.0038
			*MESH_VERTEX   19	4500.0005	-5000.0000	189.0038
			*MESH_VERTEX   20	5000.0000	-5000.0000	189.0038
			*MESH_VERTEX   21	-5000.0000	-4500.0005	189.0038
			*MESH_VERTEX   22	-4500.0000	-4500.0000	108.7663
			*MESH_VERTEX   23	-4000.0002	-4500.0000	121.2477
			*MESH_VERTEX   24	-3500.0002	-4500.0000	142.6443
			*MESH_VERTEX   25	-3000.0000	-4500.0000	160.4749
			*MESH_VERTEX   26	-2500.0000	-4500.0005	240.7123
			*MESH_VERTEX   27	-2000.0000	-4500.0000	303.1192
			*MESH_VERTEX   28	-1500.0001	-4500.0000	301.3362
			*MESH_VERTEX   29	-1000.0001	-4500.0000	374.4414
			*MESH_VERTEX   30	-500.0000	-4500.0000	344.1295
			*MESH_VERTEX   31	0.0000	-4500.0005	376.2244
			*MESH_VERTEX   32	500.0000	-4500.0000	410.1025
			*MESH_VERTEX   33	1000.0001	-4500.0000	402.9702
			*MESH_VERTEX   34	1500.0001	-4500.0000	370.8753
			*MESH_VERTEX   35	2000.0000	-4500.0000	192.5699
			*MESH_VERTEX   36	2500.0002	-4500.0005	78.4544
			*MESH_VERTEX   37	3000.0000	-4500.0000	210.4004
			*MESH_VERTEX   38	3500.0000	-4500.0000	233.5801
			*MESH_VERTEX   39	4000.0002	-4500.0000	269.2412
			*MESH_VERTEX   40	4500.0000	-4500.0000	310.2514
			*MESH_VERTEX   41	5000.0000	-4500.0005	189.0038
			*MESH_VERTEX   42	-5000.0000	-4000.0000	189.0038
			*MESH_VERTEX   43	-4500.0000	-4000.0002	155.1257
			*MESH_VERTEX   44	-4000.0002	-4000.0000	189.0038
			*MESH_VERTEX   45	-3500.0000	-4000.0002	189.0038
			*MESH_VERTEX   46	-3000.0002	-4000.0002	194.3529
			*MESH_VERTEX   47	-2500.0000	-4000.0000	285.2887
			*MESH_VERTEX   48	-2000.0001	-4000.0002	329.8650
			*MESH_VERTEX   49	-1500.0000	-4000.0000	338.7803
			*MESH_VERTEX   50	-1000.0000	-4000.0002	376.2244
			*MESH_VERTEX   51	-500.0000	-4000.0002	345.9125
			*MESH_VERTEX   52	0.0000	-4000.0000	358.3939
			*MESH_VERTEX   53	500.0000	-4000.0002	356.6108
			*MESH_VERTEX   54	1000.0001	-4000.0000	361.9600
			*MESH_VERTEX   55	1500.0000	-4000.0002	285.2887
			*MESH_VERTEX   56	2000.0001	-4000.0002	135.5121
			*MESH_VERTEX   57	2500.0000	-4000.0000	117.6816
			*MESH_VERTEX   58	3000.0002	-4000.0002	230.0140
			*MESH_VERTEX   59	3500.0002	-4000.0000	189.0038
			*MESH_VERTEX   60	4000.0000	-4000.0002	192.5699
			*MESH_VERTEX   61	4500.0000	-4000.0002	313.8175
			*MESH_VERTEX   62	5000.0005	-4000.0000	189.0038
			*MESH_VERTEX   63	-5000.0005	-3500.0000	189.0038
			*MESH_VERTEX   64	-4500.0000	-3500.0000	290.6378
			*MESH_VERTEX   65	-4000.0000	-3500.0002	219.3157
			*MESH_VERTEX   66	-3500.0002	-3500.0000	189.0038
			*MESH_VERTEX   67	-3000.0002	-3500.0002	215.7496
